CONFUSION TABLE OF ResnetV2101_0.5_21-07-53
Recall,Precision
0.994059405940594,0.9920948616600791
0.9796747967479674,0.9917695473251029
0.9798165137614679,0.9925650557620818
0.9979338842975206,0.9979338842975206
0.9940119760479041,0.9707602339181286

CONFUSION TABLE OF ResnetV2101_0.6_21-57-31
Recall,Precision
0.9925187032418953,0.995
0.9976076555023924,0.9834905660377359
0.9829268292682927,0.9926108374384236
0.995049504950495,0.9975186104218362
0.9927360774818402,0.9927360774818402

CONFUSION TABLE OF ResnetV2101_0.7_23-08-20
Recall,Precision
1,1
0.9901315789473685,0.9933993399339934
0.9833887043189369,0.9833887043189369
0.9876923076923076,0.9968944099378882
0.9838709677419355,0.9713375796178344

CONFUSION TABLE OF ResnetV2101_0.8_00-31-33
Recall,Precision
1,1
0.9895287958115183,0.9895287958115183
0.9814814814814815,0.9906542056074766
1,0.9905660377358491
0.9903846153846154,0.9903846153846154

CONFUSION TABLE OF ResnetV2101_0.9_01-43-23
Recall,Precision
0.9878048780487805,0.9878048780487805
0.9719626168224299,0.9904761904761905
0.9824561403508771,1
1,0.9911504424778761
1,0.9736842105263158

CONFUSION TABLE OF InceptionV3_0.5_02-49-17
Recall,Precision
0.9879275653923542,0.9939271255060729
0.9882121807465619,0.9843444227005871
0.9845559845559846,0.9732824427480916
0.9921875,0.996078431372549
0.9755600814663951,0.9815573770491803

CONFUSION TABLE OF InceptionV3_0.6_04-13-05
Recall,Precision
0.9903846153846154,0.9927710843373494
0.9873096446700508,0.9873096446700508
0.9791666666666666,0.9837209302325581
0.9975124378109452,0.9975124378109452
0.9875621890547264,0.980246913580247

CONFUSION TABLE OF InceptionV3_0.7_05-32-12
Recall,Precision
0.9864406779661017,0.9965753424657534
0.9932659932659933,0.9899328859060402
0.9838187702265372,0.987012987012987
0.9869281045751634,0.993421052631579
0.99079754601227,0.9758308157099698

CONFUSION TABLE OF InceptionV3_0.8_07-02-02
Recall,Precision
0.984375,0.9895287958115183
0.9902912621359223,0.9807692307692307
0.9808612440191388,0.9951456310679612
1,1
0.9901477832512315,0.9804878048780488

CONFUSION TABLE OF InceptionV3_0.9_08-43-13
Recall,Precision
0.9807692307692307,1
0.9900990099009901,0.9900990099009901
0.9902912621359223,0.9622641509433962
0.9787234042553191,0.989247311827957
0.9838709677419355,0.9838709677419355

CONFUSION TABLE OF MobilenetV2_0.5_10-17-35
Recall,Precision
0.9980119284294234,0.9881889763779528
0.994,0.9920159680638723
0.9806201550387597,0.9902152641878669
0.9919354838709677,1
0.98828125,0.9825242718446602

CONFUSION TABLE OF MobilenetV2_0.6_10-30-14
Recall,Precision
1,0.994750656167979
0.9902439024390244,0.9950980392156863
0.9787735849056604,0.9904534606205251
0.9928400954653938,1
0.9927536231884058,0.9739336492890995

CONFUSION TABLE OF MobilenetV2_0.7_10-42-10
Recall,Precision
1,0.9933774834437086
1,1
0.9810725552050473,0.9936102236421726
1,0.9968553459119497
0.9903225806451613,0.9871382636655949

CONFUSION TABLE OF MobilenetV2_0.8_10-54-46
Recall,Precision
0.9946236559139785,1
1,0.9951219512195122
0.9949748743718593,0.99
1,1
0.9952830188679245,1

CONFUSION TABLE OF MobilenetV2_0.9_11-05-30
Recall,Precision
1,1
1,1
0.9906542056074766,0.9906542056074766
1,1
0.9919354838709677,0.9919354838709677

CONFUSION TABLE OF ResnetV250_0.5_11-17-06
Recall,Precision
0.9901768172888016,0.9882352941176471
0.9876288659793815,0.9775510204081632
0.9864603481624759,0.9902912621359223
0.9863013698630136,0.998019801980198
0.9861386138613861,0.9822485207100592

CONFUSION TABLE OF ResnetV250_0.6_12-38-09
Recall,Precision
0.9952830188679245,0.9952830188679245
0.9874686716791979,0.9633251833740831
0.9846153846153847,0.9795918367346939
0.9811764705882353,1
0.9828431372549019,0.9925742574257426

CONFUSION TABLE OF ResnetV250_0.7_13-50-32
Recall,Precision
0.9963235294117647,0.9854545454545455
0.9871794871794872,0.9903536977491961
0.9871794871794872,0.9935483870967742
0.993485342019544,0.9902597402597403
0.9878787878787879,0.9908814589665653

CONFUSION TABLE OF ResnetV250_0.8_14-40-05
Recall,Precision
0.9947916666666666,0.9896373056994818
0.99,0.99
0.9701492537313433,0.9948979591836735
0.9954128440366973,0.9908675799086758
0.9951456310679612,0.9808612440191388

CONFUSION TABLE OF ResnetV250_0.9_15-33-06
Recall,Precision
1,0.9897959183673469
0.9805825242718447,1
1,0.9826086956521739
1,1
0.9814814814814815,0.9906542056074766

